Year,Independent,Dependent,Total,Independent,Dependent,Total,Independent,Dependent,Total,,,0,200,304,0,304,504,0,504,2001,184,3,187,326,42,368,510,45,555,8.82
2002,267,3,270,251,30,281,518,33,551,,,,,,,,,,,,,,,,,,,,,
2003,364,1,365,290,17,307,654,18,672,,,,,,,,,,,,,,,,,,,,,
2004,410,0,410,310,23,333,720,23,743,,,,,,,,,,,,,,,,,,,,,
2005,432,5,437,329,48,377,761,53,814,,,,,,,,,,,,,,,,,,,,,
2006,475,10,485,288,17,305,763,27,790,,,,,,,,,,,,,,,,,,,,,
2007,749,15,759,322,39,366,1071,54,1125,,,,,,,,,,,,,,,,,,,,,
2008,608,38,646,385,42,427,993,80,1073,,,,,,,,,,,,,,,,,,,,,
2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,7,595,376,33,409,964,40,1004,4.15,,,,,,,,,,
2011,700,14,714,411,29,440,1111,43,1154,,,,,,,,,,,,,,,,,,,,,
2012,800,12,812,276,17,293,1076,29,1105,,,,,,,,,,,,,,,,,,,,,
2013,780,10,790,435,47,482,1215,57,1272,,,,,,,,,,,,,,,,,,,,,
2014,1067,29,1038,506,44,462,1573,73,1646,,,,,,,,,,,,,,,,,,,,,
2015,924,15,939,412,43,455,1336,58,1394,,,,,,,,,,,,,,,,,,,,,
2016,1337,43,1380,365,61,426,1702,104,1806,,,,,,,,,,,,,,,,,,,,,
2017,1560,58,1618,383,57,440,1943,115,2058,,,,,,,,,,,,,,,,,,,,,
