county,estimate,sd
Adams,6300,500
Adams,19900,1900
Ashland,14900,1500
Barron,21100,1900
Bayfield,33100,3900
Brown,11600,1000
Buffalo,24200,2100
Burnett,22600,2300
Calumet,5300,400
Chippewa,17200,1400
Chippewa,7500,700
Clark,21900,2000
Clark,10800,1000
Columbia,31300,2300
Crawford,21100,1800
Dane,22300,1600
Dodge,17700,1400
Door,18100,2100
Douglas,32600,3800
Dunn,23300,2000
Eau Claire,10900,900
Eau Claire,5400,500
Florence,15600,1800
Fond du Lac,16100,1300
Forest,17500,1600
Grant,31600,2800
Green,11600,1000
Green Lake,14800,1200
Iowa,26700,2000
Iron,6800,700
Jackson,19000,1500
Jackson,10300,900
Jefferson,10900,900
Juneau,14000,1100
Juneau,12700,1100
Kenosha,1600,200
Kewaunee,12300,1200
La Crosse,17100,1400
Lafayette,12400,1100
Langlade,24000,2100
Lincoln,22900,1900
Manitowoc,15700,1500
Marathon,49500,4100
Marinette,23900,2300
Marinette,25200,2400
Marquette,26300,2000
Menominee,30000,NA
Milwaukee,800,100
Monroe,28700,2300
Monroe,5100,500
Oconto,28100,2400
Oconto,10700,900
Oneida,25800,2200
Outagamie,16000,1300
Ozaukee,3700,400
Pepin,7200,700
Pierce,13700,1400
Polk,26000,2500
Portage,26000,2000
Price,30500,2500
Racine,2200,300
Richland,32300,2500
Rock,8900,800
Rusk,27000,2300
Sauk,37100,2800
Sawyer,25500,2100
Shawano,42300,3500
Sheboygan,11400,1100
Saint Croix,12800,1200
Taylor,30200,2600
Trempealeau,26300,2100
Vernon,34700,2800
Vilas,17500,1800
Walworth,5800,600
Washburn,21000,1800
Washington,9900,900
Waukesha,9200,800
Waupaca,38500,3100
Waushara,25000,1900
Winnebago,9600,700
Wood,13400,1100
Wood,9200,800
