ID,Group,Shape,Count
1,AhoyMateys,Square,5
2,AhoyMateys,Square,0
3,AhoyMateys,Square,2
4,AhoyMateys,Square,1
5,AhoyMateys,Square,0
6,AhoyMateys,Square,2
7,AhoyMateys,Square,0
8,AhoyMateys,Square,2
9,AhoyMateys,Square,3
10,AhoyMateys,Square,4
11,AhoyMateys,Square,0
12,AhoyMateys,Square,2
13,AhoyMateys,Square,1
14,AhoyMateys,Square,0
15,AhoyMateys,Square,1
16,AhoyMateys,Circle,0
17,AhoyMateys,Circle,0
18,AhoyMateys,Circle,2
19,AhoyMateys,Circle,1
20,AhoyMateys,Circle,0
21,AhoyMateys,Circle,1
22,AhoyMateys,Circle,0
23,AhoyMateys,Circle,0
24,AhoyMateys,Circle,2
25,AhoyMateys,Circle,1
