Island,Weight,Length,Girth,Sex
Chirpoev,15.5,93,69,M
Chirpoev,29,106,71,F
Chirpoev,35.5,112,76,M
Chirpoev,32,107,72,M
Chirpoev,32,105,73.5,M
Chirpoev,33.5,111,72,M
Chirpoev,38,116,75,M
Chirpoev,31.5,108,67,M
Chirpoev,26,101,67,F
Chirpoev,38,116,77,M
Chirpoev,21.5,102,60,F
Chirpoev,31.5,108,71,F
Chirpoev,35,114,71,M
Chirpoev,37.5,110,74,M
Chirpoev,29.5,105,71,F
Chirpoev,43.5,116,79,M
Chirpoev,27,100,67,F
Chirpoev,28.5,110,66,F
Chirpoev,41.5,117,77,M
Chirpoev,36.5,112,74,F
Chirpoev,31,108,67.5,M
Chirpoev,31,107,71,M
Chirpoev,38.5,118,76,M
Chirpoev,35.5,112,74,M
Chirpoev,27,105,65,F
Chirpoev,44.5,114,84,M
Chirpoev,23,97,62,F
Chirpoev,35.5,115,73,F
Chirpoev,29,105,69,F
Chirpoev,22,103,66,F
Chirpoev,31.5,107,74,F
Chirpoev,40,115,77.5,M
Chirpoev,29,108,67,M
Chirpoev,40,115,80,M
Chirpoev,40,117,67,M
Chirpoev,40,121,78,M
Chirpoev,40,120,76,M
Chirpoev,32.5,115,74.5,F
Chirpoev,32,115,71,F
Chirpoev,28.5,100,70,F
Chirpoev,31.5,109,70,M
Chirpoev,44,115,81,M
Chirpoev,25.5,104,68,F
Chirpoev,24,103,64.5,F
Chirpoev,38.5,116,77,M
Chirpoev,30,110,69,M
Chirpoev,27,106,66,M
Chirpoev,28.5,110,71,M
Chirpoev,35.5,116,77,M
Chirpoev,45,120,88,M
Chirpoev,33.5,113,71.5,M
Chirpoev,30.5,110,77,F
Chirpoev,22.5,97,52.5,F
Chirpoev,28.5,108,67,M
Chirpoev,38.5,116,76,M
Chirpoev,26,105,68,F
Chirpoev,35.5,121,76,F
Chirpoev,33,111,70,M
Chirpoev,30.5,110,70,F
Chirpoev,31,107,71,F
Chirpoev,30,104,76,F
Chirpoev,37,115,78,M
Chirpoev,41.5,118,80.5,M
Chirpoev,31,110,69.5,M
Chirpoev,32.5,115,72,F
Chirpoev,29.5,105,72.5,M
Chirpoev,40,115,79,M
Chirpoev,36,115,73,M
Chirpoev,20,101,59,F
Chirpoev,30,110,70.5,F
Chirpoev,26,106,65.5,F
Chirpoev,28.5,108,68.5,F
Chirpoev,31,108,71,F
Chirpoev,31,107,72,F
Chirpoev,36,114,74.5,M
Chirpoev,33.5,116,73,M
Chirpoev,28.5,104,69,F
Chirpoev,23,98,62,F
Chirpoev,26.5,106,65.5,M
Chirpoev,34.5,115,77,F
Chirpoev,27,105,66.5,M
Chirpoev,34.5,110,75,F
Chirpoev,33,116,72,M
Chirpoev,39,119,80,M
Chirpoev,43,119,82,M
Chirpoev,27,104,67,F
Chirpoev,37.5,114,83,M
Chirpoev,31,113,71,M
Chirpoev,34.5,113,71,M
Chirpoev,28.5,110,69.5,F
Chirpoev,32,111,70,M
Chirpoev,24,103,64.5,F
Chirpoev,42.5,120,82,M
Chirpoev,32.5,112,71.5,F
Chirpoev,31.5,111,70,F
Chirpoev,26.5,106,69,F
Chirpoev,40.5,118,78,M
Chirpoev,26.5,100,64.5,M
Chirpoev,26.5,101,66,M
Srednova,31.5,110,69,M
Srednova,30,106,66,M
Srednova,27,100,67,M
Srednova,39.5,116,76.5,M
Srednova,27,105,67.5,F
Srednova,25.5,102,65,F
Srednova,28.5,105,72,F
Srednova,33,108,74.5,F
Srednova,32.5,113,73,M
Srednova,25.5,104,68,F
Srednova,28,107,68,F
Srednova,27.5,107,67,F
Srednova,42,115,81,M
Srednova,28.5,106,70,F
Srednova,30.5,104,70,M
Srednova,32.5,108,70,F
Srednova,39.5,114,76.5,M
Srednova,34,111,72.5,M
Srednova,34.5,112,76,F
Srednova,36,113,75,M
Srednova,28,103,68,M
Srednova,30,108,71,F
Srednova,34,111,76.5,F
Srednova,25,97,67,F
Srednova,30,105,72,F
Srednova,34.5,110,75,F
Srednova,39,111,77,M
Srednova,29,102,72,F
Srednova,42.5,115,82,M
Srednova,38,116,77,M
Srednova,33.5,112,75,M
Srednova,33.5,106,75.5,F
Srednova,40,118,77,M
Srednova,41.5,114,80,M
Srednova,38.5,113,74,M
Srednova,37,114,74,M
Srednova,28,106,67,F
Srednova,30,105,70,F
Srednova,30.5,104,NA,F
Srednova,26,100,69,F
Srednova,37.5,113,79,M
Srednova,33,110,73,M
Srednova,41.5,117,80,M
Srednova,41.5,113,82,M
Srednova,39.5,118,76,M
Srednova,45.5,121,83,M
Srednova,37,112,78,M
Srednova,43.5,120,82,M
Srednova,29,104,70,F
Srednova,32,108,74,F
Srednova,42,114,84,M
Srednova,23.5,94,62,F
Srednova,47.5,121,84,M
Srednova,30.5,106,68.5,M
Srednova,25,105,65,F
Srednova,32.5,106,74,F
Srednova,29.5,101,73,F
Srednova,29,107,71,M
Srednova,27,103,67.5,F
Srednova,30,103,73,F
Srednova,30,106,68.5,F
Srednova,42,121,78,M
Srednova,22.5,96,68,F
