     ID,X,Y
1,22.4,1.5
2,19.4,1.4
3,30.8,1.6
4,35.9,2.7
5,21.8,2.6
6,30.3,2.7
7,17.3,3
8,24.9,3.1
9,27.1,2.9
10,25.9,3.2
11,19.3,3.5
12,19.5,4.1
13,25.2,4.3
14,12.6,5
15,37.3,4.7
16,24.8,5.4
17,27.9,5.6
18,23.8,5.6
19,33.4,6.2
20,19.6,6.6
21,43.9,7.4
22,24.9,7.3
23,20.5,7.9
24,14.4,8.2
25,25.5,8.1
26,18.8,8.1
27,17.3,8.8
28,24.1,8.7
29,29,8.9
30,20.6,9.2
31,49,9.3
32,31.2,9.5
33,25,9.6
34,25.2,10.1
35,33,10.3
36,42.2,10.2
37,51.9,10.6
38,11.5,10.1
39,33.3,11.1
40,51.3,12
41,28.5,12.2
42,14.2,12.3
43,30.2,12.7
44,12.3,13
45,10.8,13
46,28.4,12.8
47,54.9,13.1
48,16.3,12.6
49,17.7,13.5
50,28.2,14.2
51,49.7,15
52,52.1,15.4
53,14,14.8
54,11.3,15.2
55,13.6,15.1
56,47.7,15
57,46.2,15.2
58,42.4,15.4
59,33.5,15.4
60,45.4,15.9
61,11.5,16
62,53.5,15.8
63,49.1,16.1
64,50.4,15.6
65,18.4,16.3
66,17.1,16
67,9.6,16.4
68,38,16.3
69,54.5,17.3
70,38.9,17.7
71,22.4,17.4
72,19.5,17.8
73,34.9,18.6
74,13.3,19
75,19.8,18.8
76,21.8,19.1
77,29.2,19
78,22.9,19.2
79,25.6,19.3
80,36.9,19.4
81,34.2,19.7
82,49.6,20
83,30.5,20.1
84,18.8,20.1
85,11.8,20.3
86,25.2,20.6
87,38.9,20.7
88,35.1,20.5
89,12.6,20.9
90,53.8,20.7
91,28.4,21.6
92,14.1,22.2
93,39.7,22.3
94,28.5,22.3
95,39.3,22.1
96,16.5,22.7
97,56.7,23
98,24.1,22.7
99,25.3,23.2
100,47.4,23
101,33.7,23.6
102,46.1,23.8
103,21,23.9
104,35.4,24.3
105,29.6,25
106,40.4,25
107,15.1,25.3
108,31.8,25.1
109,19.3,24.8
110,29.4,25.8
111,25,26.5
112,26.2,26.8
113,12.1,27
114,20.7,26.4
115,20.4,27.3
116,19.8,27.9
117,22.9,28.4
118,25.7,27.5
119,17,28.2
120,26,28.3
121,20.7,28.6
122,17.5,29.9
123,24.2,29.8
124,15.2,31.1
125,28.2,1.4
126,38.9,1.8
127,36.6,1.4
128,27.5,2.2
129,19.6,3.3
130,33.4,3.8
131,23,4
132,20.2,4.5
133,25,6.3
134,16.9,6.3
135,31.7,7
136,12,7.3
137,35.4,6.9
138,49.2,7.9
139,15,7.8
140,36.8,8.4
141,21.2,8.3
142,44.4,10
143,13.7,10.6
144,30,10.3
145,11.1,10.9
146,27.5,10.8
147,24.5,11.3
148,11.4,11.7
149,23.5,11.8
150,25.9,11.7
151,55.7,11.9
152,41,12.7
153,57.7,12.8
154,41.8,13.1
155,54.3,12.9
156,31.6,13.5
157,25.1,14.1
158,26.4,14.8
159,14.3,14.6
160,27.5,14.8
161,31.9,16
162,12.2,16.1
163,20,16.3
164,17.4,16.5
165,11.8,16.8
166,19.9,17.5
167,40.8,17.7
168,31.6,17.5
169,37.4,17.5
170,21.6,17.8
171,55,17.7
172,15.7,18.2
173,23.2,18.3
174,38.1,18.8
175,56.9,19.8
176,47.9,20.5
177,14.2,20.2
178,35.8,20.8
179,44,20.2
180,17.9,20.9
181,30.4,21
182,16.1,20.5
183,22.7,21.2
184,35.2,21.6
185,37,21.7
186,43.6,22.3
187,48.2,23
188,14.1,22.6
189,13.8,23.2
190,35,22.6
191,20.2,23.3
192,14.3,24.5
193,25.1,24.9
194,18.3,26.1
195,35.4,26
196,31.9,26.5
197,27.7,27.4
198,21.3,28.8
199,23.7,28.5
200,37,28.9
201,16.4,28.8
202,30.2,29.9
203,16.4,29.5
204,36.2,0.2
205,36,1.9
206,17,3.5
207,17.6,3.9
208,21,4.2
209,17.8,6
210,15.6,6
211,14.1,6.1
212,22.4,6.8
213,32.6,7.2
214,57.4,9.4
215,12.8,11.7
216,15.4,12.7
217,43.8,13.8
218,26,14.3
219,52,14.7
220,16.2,15.1
221,38.9,16.5
222,10.6,16.8
223,15.8,16.7
224,9.5,17.3
225,35.8,18.6
226,17.4,18.9
227,39.8,19.5
228,15.5,19.7
229,20.7,19.9
230,37.6,21.2
231,47.3,21.1
232,26.7,22.5
233,27.4,22.1
234,21.5,22.2
235,35.9,22.6
236,36.4,22.8
237,55.4,23.4
238,34.9,23.8
239,28,24.2
240,21.1,25.6
241,22.8,26
242,16,27.2
243,31.7,29.8
244,21.9,29.9
245,37.5,0.4
246,27.8,0.7
247,29.4,2.2
248,33,4.9
249,15,6.1
250,25.8,7.5
251,56.1,8.1
252,18.3,9.2
253,12.6,8.7
254,19.4,10.3
255,22,10
256,21.2,10.9
257,22.4,12.8
258,18,12.8
259,32.7,13.3
260,15.7,13.7
261,15,13.4
262,17.3,14
263,53.1,14.6
264,21.9,15.1
265,18.1,15.8
266,23,17.5
267,56.9,17.5
268,11.5,18
269,51.4,19.5
270,14,19.8
271,35.4,19.2
272,24.1,19.3
273,43.9,22
274,52,22
275,57.6,22.1
276,18.2,22.8
277,17,23.7
278,57.6,23.8
279,44.3,24
280,37.6,24.7
281,33.2,26.8
282,22.7,27.4
283,26.9,27.7
284,41.5,27.7
