ID,X,Y
1,17.6,41.7
2,17.1,42.2
3,22.5,41
4,58.6,40.5
5,34.9,39.7
6,14.1,39.6
7,33,39.2
8,48.7,38.9
9,1.5,36.8
10,16,36.7
11,2.6,36.1
12,21.4,36
13,15.4,35.2
14,32.3,35.2
15,36.7,35.1
16,20.4,34.7
17,56.2,33.8
18,32,33.9
19,24.5,32.6
20,6,28.3
21,53.3,28
22,3.3,27.6
23,30.9,27
24,2.1,24.6
25,10.1,23.4
26,16.2,23.2
27,11,21.6
28,9,21.1
29,52.2,20.7
30,22.9,20.7
31,33.1,20.8
32,55.3,19.7
33,17.3,19.7
34,25,16.6
35,12.2,14.8
36,25.1,13.5
37,7.2,12.3
38,17.9,12.3
39,37,12
40,29.2,11.3
41,18.4,10.8
42,27.7,9.9
43,34,9.4
44,29.1,7.7
45,2,6.8
46,43.2,6.1
47,27.5,3.6
48,14,0.6
49,16.7,0.3
50,42.4,43.9
51,34.9,43.9
52,29.3,43.6
53,31.4,43.1
54,41.5,42.4
55,4.1,42
56,10.1,42
57,14.1,41.2
58,35,41.2
59,36.5,39.4
60,5.7,39.3
61,7.4,39.3
62,8.1,38.7
63,31.2,37.3
64,49.6,37.3
65,57.6,36.5
66,17.1,35
67,6.3,32.9
68,36,31
69,12.5,30.6
70,17.6,29.3
71,18.9,28
72,6.1,27.8
73,47.8,26.5
74,20.6,23.1
75,2,22
76,2.7,21.9
77,56.2,22.2
78,5.8,20.2
79,32,18.9
80,53.1,18.1
81,40.3,15.6
82,22.3,15.2
83,5.8,15
84,19.7,14.4
85,10.3,14.4
86,35.1,13.3
87,8.5,12.9
88,22.1,10.3
89,24.9,9.8
90,3.3,5.4
91,15.7,4.8
92,22.8,3.1
93,49.7,2.1
94,40.7,1.8
95,9.7,0.1
96,26.4,42.2
97,48.7,41.6
98,9.2,41
99,6.2,40.5
100,40,40
101,17.8,40.3
102,32.1,37
103,34.7,37
104,59,34.1
105,30,34.2
106,49.5,33.3
107,30.9,31.9
108,44.6,30
109,38.4,29.1
110,9.3,27.4
111,1,25.9
112,4.5,25.8
113,9.6,20.2
114,46.6,20.5
115,49.4,20.3
116,54.3,19.6
117,34.3,19.2
118,16.2,17.4
119,1.8,17
120,8.2,10.1
121,10.6,10.6
122,32.8,7.7
123,36.9,6.9
124,19.8,5.8
125,31.8,5.8
126,19.3,1.1
127,28.7,1
128,38.2,44
129,43.2,42.7
130,15.3,42.1
131,16.7,40.6
132,49.4,39.4
133,36.3,38.7
134,13.6,37.7
135,50.6,35.7
136,56.6,35.5
137,48.4,35
138,38.1,34.3
139,45.7,33.4
140,53.4,33.2
141,9,30.4
142,24.2,29.8
143,27,25.5
144,14.5,23.1
145,13.5,22.1
146,9.4,18.9
147,58.4,18.8
148,10.5,18.1
149,17.9,17.7
150,32.1,17.7
151,2.9,17.2
152,26.9,16.3
153,33.1,13.3
154,25.6,0.2
155,33,42.9
156,28.4,40.9
157,8,40.6
158,10.6,40.2
159,43.2,39.3
160,47.7,38.4
161,2.7,37.1
162,6.3,35.2
163,1.3,35
164,52.2,34.3
165,23.6,34
166,12.4,32.3
167,28.2,31.7
168,48.6,30.2
169,27.2,28.2
170,58.6,27.5
171,5.6,12
172,46.8,9.9
