"","id","Section","papers"
"1",1,1,3
"2",2,1,5
"3",3,1,2
"4",4,1,4
"5",5,1,2
"6",6,1,4
"7",7,1,4
"8",8,1,5
"9",9,1,1
"10",10,1,4
"11",11,1,2
"12",12,1,2
"13",13,1,3
"14",14,1,4
"15",15,1,4
"16",16,1,5
"17",17,1,3
"18",18,1,2
"19",19,1,1
"20",20,1,3
"21",21,1,2
"22",22,1,1
"23",23,1,5
"24",24,1,1
"25",25,1,3
"26",26,1,3
"27",27,1,5
"28",1,2,7
"29",2,2,6
"30",3,2,7
"31",4,2,5
"32",5,2,7
"33",6,2,8
"34",7,2,7
"35",8,2,7
"36",9,2,6
"37",10,2,8
"38",11,2,5
"39",12,2,5
"40",13,2,6
"41",14,2,8
"42",15,2,5
"43",16,2,8
"44",17,2,6
"45",18,2,8
"46",19,2,5
"47",20,2,6
"48",21,2,7
"49",22,2,5
"50",23,2,8
"51",1,3,12
"52",2,3,12
"53",3,3,10
"54",4,3,11
"55",5,3,10
"56",6,3,9
"57",7,3,11
"58",8,3,12
"59",9,3,12
"60",10,3,12
"61",11,3,9
"62",12,3,11
"63",13,3,13
"64",14,3,12
"65",15,3,10
"66",16,3,9
"67",17,3,13
"68",18,3,10
"69",19,3,13
"70",20,3,10
"71",21,3,11
"72",22,3,11
"73",23,3,11
"74",24,3,10
"75",25,3,9
"76",26,3,13
"77",1,4,16
"78",2,4,14
"79",3,4,15
"80",4,4,14
"81",5,4,15
"82",6,4,17
"83",7,4,15
"84",8,4,16
"85",9,4,17
"86",10,4,17
"87",11,4,16
"88",12,4,16
"89",13,4,16
"90",14,4,14
"91",15,4,16
"92",16,4,17
"93",17,4,14
"94",18,4,14
"95",19,4,15
